company_name,company_link,page
Khc,/companies/profile/khc/,1
Saudi Basic Industries,/companies/profile/saudi-basic-industries/,1
Saudi Telecom,/companies/profile/saudi-telecom/,1
Saudi Electricity,/companies/profile/saudi-electricity/,1
Al Rajhi Bank,/companies/profile/al-rajhi-bank/,1
Mobily,/companies/profile/mobily/,1
Samba Financial Group,/companies/profile/samba-financial-group/,1
Riyad Bank,/companies/profile/riyad-bank/,1
Saudi British Bank,/companies/profile/saudi-british-bank/,1
Banque Saudi Fransi,/companies/profile/banque-saudi-fransi/,1
,/,1
Arab National Bank,/companies/profile/arab-national-bank/,2
Savola Group,/companies/profile/savola-group/,2
Petro Rabigh,/companies/profile/petro-rabigh/,2
Kingdom Holding,/companies/profile/kingdom-holding/,2
Saudi Hollandi Bank,/companies/profile/saudi-hollandi-bank/,2
Almarai,/companies/profile/almarai/,2
Alinma Bank,/companies/profile/alinma-bank/,2
Olayan Group,/companies/profile/olayan-group/,2
Saudi Binladin Group,/companies/profile/saudi-binladin-group/,2
Sabic,/companies/profile/sabic/,2
,/,2
Siemens Limited,/companies/profile/siemens-limited/,3
Saudi Arabian Monetary Authority,/companies/profile/saudi-arabian-monetary-authority/,3
Acwa Power,/companies/profile/acwa-power/,3
Arab News,/companies/profile/arab-news/,3
Saudi Arabian Airlines,/companies/profile/saudi-arabian-airlines/,3
Bin Laden Group,/companies/profile/bin-laden-group/,3
Zamil Steel,/companies/profile/zamil-steel/,3
Ncb Capital,/companies/profile/ncb-capital/,3
Saudi Aramco,/companies/profile/saudi-aramco/,3
Balubaid,/companies/profile/balubaid/,3
,/,3
Saudi Arabian Oil Company,/companies/profile/saudi-arabian-oil-company/,4
Saudi Binladen Group,/companies/profile/saudi-binladen-group/,4
Saudi Press Agency,/companies/profile/saudi-press-agency/,4
Arabsat,/companies/profile/arabsat/,4
Aramco Services Company,/companies/profile/aramco-services-company/,4
Saudi Telecom Company,/companies/profile/saudi-telecom-company/,4
Sabic,/companies/profile/sabic-1/,4
Zamil Industrial,/companies/profile/zamil-industrial/,4
Integrated Telecom Company (Itc),/companies/profile/integrated-telecom-company-itc/,4
Alawwal Bank,/companies/profile/alawwal-bank/,4
,/,4
The Saudi Investment Bank,/companies/profile/the-saudi-investment-bank/,5
National Commercial Bank,/companies/profile/national-commercial-bank/,5
Hadeed,/companies/profile/hadeed/,5
Nama Chemicals,/companies/profile/nama-chemicals/,5
Aramco,/companies/profile/aramco/,5
Saudi International Petrochemical Company,/companies/profile/saudi-international-petrochemical-company/,5
Saudi Electricity Company,/companies/profile/saudi-electricity-company/,5
Saudi Aramco,/companies/profile/saudi-aramco-1/,5
Elm Information Security,/companies/profile/elm-information-security/,5
Aramco Services Company,/companies/profile/aramco-services-company-1/,5
,/,5
Saudi Arabian Airlines,/companies/profile/saudi-arabian-airlines-1/,6
Ministry Of Health Saudi Arabia,/companies/profile/ministry-of-health-saudi-arabia/,6
King Faisal Specialist Hospital,/companies/profile/king-faisal-specialist-hospital/,6
King Abdulaziz University,/companies/profile/king-abdulaziz-university/,6
National Guard Health Affairs,/companies/profile/national-guard-health-affairs/,6
Almarai - ٧ؚؖر٧ع؊,/companies/profile/almarai-yynyoyyyya/,6
Sadara Chemical Company,/companies/profile/sadara-chemical-company/,6
Saudi Binladin Group (Sbg),/companies/profile/saudi-binladin-group-sbg/,6
Dr. Sulaiman Al-Habib Medical Group,/companies/profile/dr-sulaiman-al-habib-medical-group/,6
Kaust,/companies/profile/kaust/,6
,/,6
Prince Sultan Military Medical City,/companies/profile/prince-sultan-military-medical-city/,7
Kfupm,/companies/profile/kfupm/,7
El Seif Engineering Contracting,/companies/profile/el-seif-engineering-contracting/,7
Bank Albilad ٨ٟ؎ ٧ؖبٖاؿ,/companies/profile/bank-albilad-yyuye-yynyynyy/,7
King Saud Bin Abdulaziz University For Health Sciences,/companies/profile/king-saud-bin-abdulaziz-university-for-health-sciences/,7
Umm Al-Qura University,/companies/profile/umm-al-qura-university/,7
Panda Retail Company – Savola Group,/companies/profile/panda-retail-company-ai-savola-group/,7
Dar Al Riyadh Group,/companies/profile/dar-al-riyadh-group/,7
Stc Solutions,/companies/profile/stc-solutions/,7
Saudi Aramco,/companies/profile/saudi-aramco-2/,7
,/,7
Sabic,/companies/profile/sabic-2/,8
Bsnl,/companies/profile/bsnl-1/,8
King Saud University,/companies/profile/king-saud-university-1/,8
Saudi Arabian Airlines,/companies/profile/saudi-arabian-airlines-2/,8
Saudi Electricity Company,/companies/profile/saudi-electricity-company-1/,8
Non,/companies/profile/non-1/,8
Ministry Of Health Saudi Arabia,/companies/profile/ministry-of-health-saudi-arabia-1/,8
Porto Seguro,/companies/profile/porto-seguro-1/,8
King Faisal Specialist Hospital,/companies/profile/king-faisal-specialist-hospital-1/,8
King Abdulaziz University,/companies/profile/king-abdulaziz-university-1/,8
,/,8
National Guard Health Affairs,/companies/profile/national-guard-health-affairs-1/,9
Almarai - ٧ؚؖر٧ع؊,/companies/profile/almarai-yynyoyyyya-1/,9
Mobily,/companies/profile/mobily-1/,9
Sadara Chemical Company,/companies/profile/sadara-chemical-company-1/,9
Ncb,/companies/profile/ncb-1/,9
Saudi Binladin Group (Sbg),/companies/profile/saudi-binladin-group-sbg-1/,9
Alfanar Co.,/companies/profile/alfanar-co-1/,9
Al Rajhi Bank,/companies/profile/al-rajhi-bank-1/,9
Samba Financial Group,/companies/profile/samba-financial-group-1/,9
